p m strat1 strat2 strat3 
0 80 0 0 412 
1 80 80 80 490 
2 80 159 159 549 
3 80 237 162 560 
4 80 314 205 565 
5 80 390 218 582 
6 80 465 226 589 
7 80 539 249 615 
8 80 612 269 614 
9 80 684 300 614 
10 80 755 298 621 
11 80 825 316 636 
12 80 894 328 662 
13 80 962 330 687 
14 80 1029 345 638 
15 80 1095 349 705 
16 80 1160 363 686 
17 80 1224 377 695 
18 80 1287 386 732 
19 80 1349 388 720 
20 80 1410 398 733 
21 80 1470 421 741 
22 80 1529 414 750 
23 80 1587 445 762 
24 80 1644 441 760 
25 80 1700 449 752 
26 80 1755 460 764 
27 80 1809 464 819 
28 80 1862 467 816 
29 80 1914 473 799 
30 80 1965 480 802 
31 80 2015 490 822 
32 80 2064 496 822 
33 80 2112 504 831 
34 80 2159 516 822 
35 80 2205 524 840 
36 80 2250 539 859 
37 80 2294 540 860 
38 80 2337 553 867 
39 80 2379 559 878 
40 80 2420 560 864 
41 80 2460 572 879 
42 80 2499 584 900 
43 80 2537 589 906 
44 80 2574 595 915 
45 80 2610 598 903 
46 80 2645 609 922 
47 80 2679 618 918 
48 80 2712 616 934 
49 80 2744 632 949 
50 80 2775 639 948 
51 80 2805 656 978 
52 80 2834 655 963 
53 80 2862 665 972 
54 80 2889 654 969 
55 80 2915 671 990 
56 80 2940 683 1015 
57 80 2964 677 988 
58 80 2987 696 1032 
59 80 3009 691 1040 
60 80 3030 702 1029 
61 80 3050 709 1050 
62 80 3069 713 1028 
63 80 3087 718 1062 
64 80 3104 730 1049 
65 80 3120 736 1070 
66 80 3135 740 1080 
67 80 3149 755 1092 
68 80 3162 761 1073 
69 80 3174 773 1095 
70 80 3185 772 1106 
71 80 3195 785 1124 
72 80 3204 793 1128 
73 80 3212 797 1129 
74 80 3219 802 1118 
75 80 3225 811 1134 
76 80 3230 824 1147 
77 80 3234 823 1150 
78 80 3237 833 1160 
79 80 3239 839 1162 
80 80 3240 850 1168 
