p m strat1 strat2 strat3 
0 30 0 0 113 
1 30 30 30 141 
2 30 59 52 153 
3 30 87 61 151 
4 30 114 69 171 
5 30 140 89 175 
6 30 165 96 190 
7 30 189 99 189 
8 30 212 105 192 
9 30 234 111 201 
10 30 255 125 210 
11 30 275 130 215 
12 30 294 129 225 
13 30 312 141 233 
14 30 329 146 235 
15 30 345 149 231 
16 30 360 158 251 
17 30 374 165 241 
18 30 387 171 250 
19 30 399 174 263 
20 30 410 184 263 
21 30 420 186 264 
22 30 429 194 269 
23 30 437 202 273 
24 30 444 208 284 
25 30 450 204 284 
26 30 455 215 298 
27 30 459 220 301 
28 30 462 228 319 
29 30 464 226 313 
30 30 465 239 328 
