p m strat1 strat2 strat3 
0 100 0 0 554 
1 100 100 100 634 
2 100 199 167 663 
3 100 297 202 735 
4 100 394 285 727 
5 100 490 274 751 
6 100 585 278 779 
7 100 679 310 780 
8 100 772 316 831 
9 100 864 346 823 
10 100 955 361 836 
11 100 1045 388 879 
12 100 1134 399 836 
13 100 1222 411 854 
14 100 1309 416 851 
15 100 1395 431 885 
16 100 1480 436 914 
17 100 1564 449 916 
18 100 1647 459 900 
19 100 1729 475 923 
20 100 1810 489 916 
21 100 1890 497 936 
22 100 1969 530 932 
23 100 2047 520 921 
24 100 2124 529 977 
25 100 2200 524 999 
26 100 2275 552 967 
27 100 2349 563 993 
28 100 2422 575 1000 
29 100 2494 570 980 
30 100 2565 577 1000 
31 100 2635 586 997 
32 100 2704 607 999 
33 100 2772 610 1013 
34 100 2839 617 1059 
35 100 2905 636 1037 
36 100 2970 644 1076 
37 100 3034 646 1010 
38 100 3097 659 1065 
39 100 3159 664 1086 
40 100 3220 682 1094 
41 100 3280 685 1124 
42 100 3339 685 1107 
43 100 3397 701 1135 
44 100 3454 706 1158 
45 100 3510 704 1138 
46 100 3565 729 1157 
47 100 3619 736 1122 
48 100 3672 739 1130 
49 100 3724 745 1173 
50 100 3775 738 1200 
51 100 3825 757 1177 
52 100 3874 765 1204 
53 100 3922 783 1206 
54 100 3969 788 1198 
55 100 4015 792 1200 
56 100 4060 797 1227 
57 100 4104 807 1228 
58 100 4147 803 1233 
59 100 4189 818 1234 
60 100 4230 820 1250 
61 100 4270 824 1276 
62 100 4309 839 1275 
63 100 4347 846 1294 
64 100 4384 854 1298 
65 100 4420 858 1295 
66 100 4455 868 1313 
67 100 4489 879 1313 
68 100 4522 886 1316 
69 100 4554 891 1334 
70 100 4585 907 1352 
71 100 4615 901 1339 
72 100 4644 909 1338 
73 100 4672 924 1352 
74 100 4699 923 1347 
75 100 4725 939 1362 
76 100 4750 952 1380 
77 100 4774 953 1379 
78 100 4797 962 1390 
79 100 4819 967 1396 
80 100 4840 969 1407 
81 100 4860 980 1413 
82 100 4879 993 1435 
83 100 4897 998 1431 
84 100 4914 1005 1430 
85 100 4930 1010 1437 
86 100 4945 1015 1444 
87 100 4959 1035 1453 
88 100 4972 1043 1462 
89 100 4984 1033 1461 
90 100 4995 1048 1463 
91 100 5005 1063 1472 
92 100 5014 1073 1496 
93 100 5022 1068 1495 
94 100 5029 1056 1471 
95 100 5035 1086 1507 
96 100 5040 1093 1520 
97 100 5044 1091 1526 
98 100 5047 1118 1548 
99 100 5049 1117 1535 
100 100 5050 1124 1546 
