p m strat1 strat2 strat3 
0 70 0 0 338 
1 70 70 70 411 
2 70 139 109 425 
3 70 207 141 473 
4 70 274 172 471 
5 70 340 204 481 
6 70 405 202 514 
7 70 469 217 543 
8 70 532 241 517 
9 70 594 260 538 
10 70 655 274 533 
11 70 715 277 568 
12 70 774 276 561 
13 70 832 292 586 
14 70 889 307 585 
15 70 945 313 592 
16 70 1000 317 616 
17 70 1054 336 615 
18 70 1107 337 623 
19 70 1159 343 616 
20 70 1210 350 630 
21 70 1260 373 637 
22 70 1309 382 633 
23 70 1357 379 666 
24 70 1404 400 635 
25 70 1450 398 677 
26 70 1495 414 669 
27 70 1539 417 699 
28 70 1582 421 667 
29 70 1624 424 709 
30 70 1665 436 704 
31 70 1705 434 692 
32 70 1744 447 732 
33 70 1782 455 741 
34 70 1819 462 757 
35 70 1855 475 744 
36 70 1890 489 767 
37 70 1924 490 763 
38 70 1957 500 756 
39 70 1989 502 776 
40 70 2020 508 768 
41 70 2050 522 771 
42 70 2079 522 764 
43 70 2107 537 792 
44 70 2134 548 795 
45 70 2160 550 813 
46 70 2185 552 802 
47 70 2209 557 815 
48 70 2232 565 818 
49 70 2254 571 821 
50 70 2275 585 853 
51 70 2295 587 852 
52 70 2314 585 848 
53 70 2332 591 877 
54 70 2349 605 878 
55 70 2365 617 889 
56 70 2380 618 894 
57 70 2394 625 893 
58 70 2407 634 904 
59 70 2419 641 923 
60 70 2430 639 914 
61 70 2440 653 933 
62 70 2449 656 934 
63 70 2457 666 951 
64 70 2464 662 951 
65 70 2470 675 961 
66 70 2475 684 957 
67 70 2479 695 978 
68 70 2482 703 979 
69 70 2484 710 984 
70 70 2485 717 1003 
