p m strat1 strat2 strat3 
0 90 0 0 477 
1 90 90 90 568 
2 90 179 145 583 
3 90 267 182 633 
4 90 354 240 600 
5 90 440 254 688 
6 90 525 235 677 
7 90 609 279 697 
8 90 692 304 707 
9 90 774 317 699 
10 90 855 327 728 
11 90 935 338 724 
12 90 1014 337 772 
13 90 1092 382 751 
14 90 1169 378 753 
15 90 1245 390 818 
16 90 1320 402 802 
17 90 1394 415 806 
18 90 1467 430 798 
19 90 1539 455 798 
20 90 1610 456 809 
21 90 1680 465 851 
22 90 1749 468 850 
23 90 1817 479 842 
24 90 1884 501 852 
25 90 1950 497 875 
26 90 2015 512 856 
27 90 2079 520 918 
28 90 2142 518 864 
29 90 2204 527 898 
30 90 2265 530 908 
31 90 2325 542 914 
32 90 2384 549 939 
33 90 2442 561 935 
34 90 2499 573 952 
35 90 2555 572 964 
36 90 2610 589 940 
37 90 2664 587 951 
38 90 2717 603 980 
39 90 2769 612 980 
40 90 2820 612 966 
41 90 2870 632 989 
42 90 2919 633 990 
43 90 2967 649 1007 
44 90 3014 656 1016 
45 90 3060 670 1024 
46 90 3105 662 1013 
47 90 3149 673 1041 
48 90 3192 675 1050 
49 90 3234 679 1043 
50 90 3275 699 1057 
51 90 3315 706 1068 
52 90 3354 704 1095 
53 90 3392 720 1100 
54 90 3429 721 1099 
55 90 3465 732 1117 
56 90 3500 735 1098 
57 90 3534 743 1121 
58 90 3567 753 1127 
59 90 3599 755 1124 
60 90 3630 766 1150 
61 90 3660 773 1164 
62 90 3689 777 1167 
63 90 3717 782 1167 
64 90 3744 791 1170 
65 90 3770 799 1175 
66 90 3795 809 1193 
67 90 3819 810 1198 
68 90 3842 820 1196 
69 90 3864 833 1229 
70 90 3885 834 1219 
71 90 3905 853 1242 
72 90 3924 851 1224 
73 90 3942 860 1235 
74 90 3959 870 1252 
75 90 3975 872 1257 
76 90 3990 885 1248 
77 90 4004 896 1256 
78 90 4017 891 1259 
79 90 4029 898 1283 
80 90 4040 910 1290 
81 90 4050 908 1286 
82 90 4059 917 1280 
83 90 4067 929 1307 
84 90 4074 944 1308 
85 90 4080 957 1317 
86 90 4085 954 1317 
87 90 4089 967 1333 
88 90 4092 964 1336 
89 90 4094 978 1341 
90 90 4095 982 1355 
