p m strat1 strat2 strat3 
0 40 0 0 169 
1 40 40 40 208 
2 40 79 65 215 
3 40 117 82 246 
4 40 154 95 248 
5 40 190 102 256 
6 40 225 123 272 
7 40 259 129 270 
8 40 292 135 285 
9 40 324 155 274 
10 40 355 168 279 
11 40 385 163 300 
12 40 414 167 297 
13 40 442 175 313 
14 40 469 183 306 
15 40 495 191 335 
16 40 520 200 314 
17 40 544 205 341 
18 40 567 219 325 
19 40 589 224 347 
20 40 610 233 350 
21 40 630 243 350 
22 40 649 240 357 
23 40 667 248 376 
24 40 684 251 379 
25 40 700 259 377 
26 40 715 261 394 
27 40 729 267 391 
28 40 742 272 386 
29 40 754 279 399 
30 40 765 277 408 
31 40 775 292 421 
32 40 784 297 426 
33 40 792 310 441 
34 40 799 314 436 
35 40 805 322 446 
36 40 810 325 442 
37 40 814 330 467 
38 40 817 334 459 
39 40 819 346 475 
40 40 820 350 473 
