p m strat1 strat2 strat3 
0 50 0 0 218 
1 50 50 50 279 
2 50 99 87 300 
3 50 147 102 318 
4 50 194 120 313 
5 50 240 145 306 
6 50 285 155 348 
7 50 329 160 352 
8 50 372 164 365 
9 50 414 179 372 
10 50 455 201 371 
11 50 495 197 383 
12 50 534 216 368 
13 50 572 214 386 
14 50 609 230 409 
15 50 645 230 398 
16 50 680 238 434 
17 50 714 251 434 
18 50 747 259 419 
19 50 779 271 422 
20 50 810 273 437 
21 50 840 281 442 
22 50 869 280 436 
23 50 897 286 450 
24 50 924 291 466 
25 50 950 307 486 
26 50 975 316 493 
27 50 999 317 490 
28 50 1022 318 485 
29 50 1044 332 506 
30 50 1065 336 519 
31 50 1085 337 508 
32 50 1104 347 526 
33 50 1122 355 517 
34 50 1139 356 534 
35 50 1155 375 541 
36 50 1170 372 544 
37 50 1184 380 554 
38 50 1197 393 566 
39 50 1209 394 561 
40 50 1220 405 576 
41 50 1230 409 586 
42 50 1239 415 582 
43 50 1247 425 592 
44 50 1254 434 591 
45 50 1260 427 593 
46 50 1265 447 618 
47 50 1269 448 613 
48 50 1272 452 622 
49 50 1274 464 638 
50 50 1275 467 638 
